日付,基準価額_1305,出来高_1305,純資産総額_1305,基準価額_1306,出来高_1306,純資産総額_1306
2015-08-31,1583,10507080,1305486757696,1561,120945860,2685410000000
2015-09-30,1465,6649600,1222381260029,1446,93540830,2779820000000
2015-10-30,1619,4310550,1336944955025,1597,68646280,2870560000000
2015-11-30,1642,4896390,1359174345101,1621,45193740,2923420000000
2015-12-30,1609,5240330,1377242206635,1589,78199850,2945650000000
2016-01-29,1499,6871110,1319069955496,1477,114813770,2766660000000
2016-02-29,1350,6931700,1222577077233,1334,122311370,2543420000000
2016-03-31,1414,7835720,1275426436990,1397,89488030,2839990000000
2016-04-28,1408,5940370,1257819582706,1389,88450700,2721140000000
2016-05-31,1448,6858790,1295053134572,1429,59733000,2810800000000
2016-06-30,1314,7668910,1215062223950,1295,89969590,2603300000000
2016-07-29,1359,8565120,1298898899790,1342,91593280,2756930000000
2016-08-31,1369,5920310,1354905273074,1350,42690050,2817700000000
2016-09-30,1374,5200320,1462896364426,1353,41052270,3075940000000
2016-10-31,1448,4797470,1523565799009,1429,47615370,3250220000000
2016-11-30,1525,10814200,1722943621303,1504,87370420,3583590000000
2016-12-30,1578,8409960,1811059297965,1556,74279830,3884560000000
2017-01-31,1582,7881510,1934278253556,1561,54078480,4148550000000
2017-02-28,1596,4571500,2057502526451,1576,33759420,4356260000000
2017-03-31,1589,5415040,2238123757254,1565,49509720,4695720000000
2017-04-28,1608,8218680,2305238354080,1586,60307210,4746390000000
2017-05-31,1645,6503930,2355757323546,1622,40550450,4966140000000
2017-06-30,1694,8726780,2487883192187,1670,49185810,5239830000000
2017-07-31,1675,5833100,2523533766291,1651,49141800,5276540000000
