SC,名称,株価
2176,イナリサーチ,694
2178,トライステージ,604
2179,成学社,989
2180,サニーサイドアップ,773
2181,パーソルホールディングス,2398
2183,リニカル,1493
2185,シイエム・シイ,4350
2186,ソーバル,950
2191,テラ,528
2193,クックパッド,758
2195,アミタホールディングス,1116
2196,エスクリ,804
2198,アイ・ケイ・ケイ,834
2201,森永製菓,6550
2204,中村屋,5060
2206,江崎グリコ,5790
2207,名糖産業,1522
2208,ブルボン,2527
2209,井村屋グループ,2057
2211,不二家,2443
2212,山崎製パン,2069
2215,第一屋製パン,1197
2216,カンロ,3060
2217,モロゾフ,7650
2218,日糧製パン,213
2220,亀田製菓,4940
2221,岩塚製菓,5430
2222,寿スピリッツ,3605
2224,コモ,2389
2226,湖池屋,4840
2228,シベール,2919
2229,カルビー,3880
2264,森永乳業,867
2266,六甲バター,2366
2267,ヤクルト本社,7990
2268,B-Rサーティワンアイスクリーム,4015
2269,明治ホールディングス,8640
2270,雪印メグミルク,3250
2281,プリマハム,769
2282,日本ハム,3110
2286,林兼産業,925
2288,丸大食品,537
2291,福留ハム,442
2292,S　Foods,4195
2293,滝沢ハム,647
2294,柿安本店,1941
2296,伊藤ハム米久ホールディングス,1015
2300,きょくとう,632
2301,学情,1271
2303,ドーン,1372
2304,CSSホールディングス,430
2305,スタジオアリス,2600
2307,クロスキャット,719
2309,シミックホールディングス,1490
2311,エプコ,3275
2315,カイカ,65
2317,システナ,2785
2321,ソフトフロントホールディングス,206
2323,fonfun,430
2325,NJS,1370
2326,デジタルアーツ,4680
2327,新日鉄住金ソリューションズ,2431
2329,東北新社,768
2330,フォーサイド,340
2331,綜合警備保障,5050
2332,クエスト,848
2335,キューブシステム,827
2337,いちご,372
2338,ファステップス,574
2340,極楽湯ホールディングス,792
2341,アルバイトタイムス,222
2342,トランスジェニック,608
2344,平安レイサービス,965
2345,アイスタディ,1277
2349,エヌアイデイ,3290
2351,ASJ,2045
2352,エイジア,1117
2353,日本駐車場開発,165
2354,安川情報システム,587
2359,コア,1699
2362,夢真ホールディングス,805
2370,メディネット,126
2371,カカクコム,1389
2372,アイロムグループ,1547
2373,ケア21,3560
2374,セントケア・ホールディング,2274
2375,スリープログループ,1000
2376,サイネックス,965
2378,ルネサンス,1767
2379,ディップ,2472
2384,SBSホールディングス,779
2385,総医研ホールディングス,626
2388,ウェッジホールディングス,528
2389,オプトホールディング,1236
2391,プラネット,2173
2393,日本ケアサプライ,1229
2395,新日本科学,528
2397,DNAチップ研究所,1398
2398,ツクイ,757
2402,アマナ,877
2404,鉄人化計画,385
2405,フジコー,458
2406,アルテサロンホールディングス,769
2408,KG情報,801
2410,キャリアデザインセンター,1632
2411,ゲンダイエージェンシー,567
2412,ベネフィット・ワン,4625
2413,エムスリー,3170
2415,ヒューマンホールディングス,1551
2417,ツヴァイ,790
2418,ツカダ・グローバルホールディング,556
2424,ブラス,1026
2425,ケアサービス,2260
2427,アウトソーシング,7050
2428,ウェルネット,1147
2429,ワールドホールディングス,3470
2432,ディー・エヌ・エー,2410
2433,博報堂DYホールディングス,1451
2435,シダー,313
2436,共同ピーアール,1153
2437,シンワアートオークション,429
2438,アスカネット,1860
2440,ぐるなび,1633
2445,エスアールジータカミヤ,631
2449,プラップジャパン,1551
2453,ジャパンベストレスキューシステム,424
2454,オールアバウト,1552
2458,夢テクノロジー,868
2459,アウンコンサルティング,310
2461,ファンコミュニケーションズ,1189
2462,ライク,1858
2464,ビジネス・ブレークスルー,388
