SC,名称,株価
3845,アイフリークモバイル,296
3847,パシフィックシステム,2722
3848,データ・アプリケーション,1629
3849,日本テクノ・ラボ,750
3850,エヌ・ティ・ティ・データ・イントラマート,1617
3851,日本一ソフトウェア,1629
3852,サイバーコム,1007
3853,インフォテリア,1197
3854,アイル,1321
3856,Abalance,893
3857,ラック,1356
3858,ユビキタス,844
3861,王子ホールディングス,593
3863,日本製紙,2068
3864,三菱製紙,733
3865,北越紀州製紙,677
3877,中越パルプ工業,226
3878,巴川製紙所,331
3880,大王製紙,1343
3891,ニッポン高度紙工業,2696
3892,岡山製紙,555
3895,ハビックス,1094
3896,阿波製紙,828
3900,クラウドワークス,879
3901,マークラインズ,908
3902,メディカル・データ・ビジョン,2282
3903,gumi,1085
3904,カヤック,1405
3905,データセクション,642
3906,ALBERT,1247
3907,シリコンスタジオ,4750
3908,コラボス,2615
3909,ショーケース・ティービー,1069
3910,エムケイシステム,1994
3911,Aiming,663
3912,モバイルファクトリー,1392
3913,sMedio,2134
3914,JIG-SAW,5930
3915,テラスカイ,6980
3916,デジタル・インフォメーション・テクノロジー,2047
3917,アイリッジ,2064
3918,PCIホールディングス,2647
3919,パイプドHD,1177
3920,アイビーシー,916
3921,ネオジャパン,1420
3922,PR_TIMES,3005
3923,ラクス,1952
3924,ランドコンピュータ,1431
3925,ダブルスタンダード,5770
3926,オープンドア,4055
3927,アークン,538
3928,マイネット,1570
3929,ソーシャルワイヤー,2798
3930,はてな,2175
3931,バリューゴルフ,1992
3932,アカツキ,9170
3933,チエル,1542
3934,ベネフィットジャパン,1025
3935,エディア,1425
3936,グローバルウェイ,3595
3937,Ubicomホールディングス,3005
3938,LINE,3910
3939,カナミックネットワーク,1839
3940,ノムラシステムコーポレーション,1400
3941,レンゴー,632
3943,大石産業,980
3944,古林紙工,244
3945,スーパーバッグ,253
3946,トーモク,384
3947,ダイナパック,1651
3948,光ビジネスフォーム,497
3950,ザ・パック,4020
3951,朝日印刷,2650
3952,中央紙器工業,1400
3953,大村紙業,630
3954,昭和パックス,1581
3955,イムラ封筒,529
3956,国際チャート,244
3960,バリューデザイン,2233
3961,シルバーエッグ・テクノロジー,2166
3962,チェンジ,8460
3963,シンクロ・フード,1720
3964,オークネット,1431
3965,キャピタル・アセット・プランニング,2292
3966,ユーザベース,3055
3967,エルテス,2300
3968,セグエグループ,4410
3969,エイトレッド,2997
3970,イノベーション,1823
3974,ティビィシィ・スキヤツト,1405
3975,AOI_TYOホールディングス,1189
3976,シャノン,2226
3977,フュージョン,1495
3978,マクロミル,2622
3979,うるる,3630
3981,ビーグリー,1747
3983,オロ,1501
3984,ユーザーローカル,6970
3985,テモナ,6270
3986,ビーブレイクシステムズ,4265
3987,エコモット,3535
3988,SYSホールディングス,3375
3989,シェアリングテクノロジー,2180
3990,UUUM,4615
3991,ウォンテッドリー,4610
4004,昭和電工,3280
4005,住友化学,690
4008,住友精化,5250
4021,日産化学工業,4035
4022,ラサ工業,211
4023,クレハ,5670
4025,多木化学,4635
4026,神島化学工業,1691
4027,テイカ,1025
4028,石原産業,1483
4031,片倉コープアグリ,270
4033,日東エフシー,866
4041,日本曹達,659
4042,東ソー,1288
4043,トクヤマ,517
4044,セントラル硝子,493
4045,東亞合成,1426
4046,大阪ソーダ,580
4047,関東電化工業,1118
4061,デンカ,711
4062,イビデン,1785
4063,信越化学工業,9982
4064,日本カーバイド工業,240
4078,堺化学工業,544
4080,田中化学研究所,2347
4082,第一稀元素化学工業,1403
4088,エア・ウォーター,2029
4091,大陽日酸,1270
4092,日本化学工業,256
4093,東邦アセチレン,1650
4094,日本化学産業,2388
4095,日本パーカライジング,1715
4097,高圧ガス工業,839
4098,チタン工業,375
4099,四国化成工業,1629
4100,戸田工業,516
4102,丸尾カルシウム,1500
4107,伊勢化学工業,602
4109,ステラケミファ,5120
4112,保土谷化学工業,8600
4113,田岡化学工業,530
4114,日本触媒,8070
4115,本州化学工業,1321
4116,大日精化工業,1080
4117,川崎化成工業,206
4118,カネカ,861
4119,日本ピグメント,438
4120,スガイ化学工業,163
4151,協和発酵キリン,1838
4182,三菱瓦斯化学,2779
4183,三井化学,684
4185,JSR,2123
4186,東京応化工業,4085
4187,大阪有機化学工業,1384
4188,三菱ケミカルホールディングス,1063
4189,KHネオケム,2732
4202,ダイセル,1369
4203,住友ベークライト,827
4204,積水化学工業,2177
4205,日本ゼオン,1420
4206,アイカ工業,3655
4208,宇部興産,326
4212,積水樹脂,2100
4215,タキロンシーアイ,673
4216,旭有機材,290
4217,日立化成,3245
4218,ニチバン,1139
4220,リケンテクノス,641
4221,大倉工業,786
4222,児玉化学工業,92
4224,ロンシール工業,2533
4228,積水化成品工業,1272
4229,群栄化学工業,3815
4231,タイガースポリマー,781
4234,サンエー化研,1023
4235,第一化成,2735
4237,フジプレアム,304
4238,ミライアル,1414
4239,ポラテクノ,910
4240,クラスターテクノロジー,660
4241,アテクト,1776
4242,タカギセイコー,842
4243,ニックス,1128
4245,ダイキアクシス,1295
4246,ダイキョーニシカワ,1713
4247,ポバール興業,1200
4248,竹本容器,1769
4272,日本化薬,1765
4274,細谷火工,1752
4275,カーリットホールディングス,719
4282,EPSホールディングス,2111
4284,ソルクシーズ,793
4286,レッグス,799
4287,ジャストプランニング,808
4288,アズジェント,3300
4290,プレステージ・インターナショナル,1133
4291,JIEC,1549
4293,セプテーニ・ホールディングス,306
4295,フェイス,1190
4298,プロトコーポレーション,1998
4299,ハイマックス,1594
4301,アミューズ,2747
4304,Eストアー,784
4307,野村総合研究所,4235
4308,Jストリーム,553
4310,ドリームインキュベータ,2115
4312,サイバネットシステム,742
4316,ビーマップ,1570
4317,レイ,305
4318,クイック,1760
4319,TAC,250
4320,CEホールディングス,1270
4321,ケネディクス,563
4323,日本システム技術,1299
4324,電通,4705
4326,インテージホールディングス,2679
4327,日本エス・エイチ・エル,5010
4331,テイクアンドギヴ・ニーズ,779
4333,東邦システムサイエンス,798
4334,ユークス,636
4335,アイ・ピー・エス,698
4336,クリエアナブキ,911
4337,ぴあ,5330
4341,西菱電機,967
4342,セコム上信越,3400
4343,イオンファンタジー,3790
4344,ソースネクスト,493
4345,シーティーエス,755
4346,ネクシィーズグループ,1885
4347,ブロードメディア,111
4348,インフォコム,2484
4349,テスク,241
4350,メディカルシステムネットワーク,500
4351,山田債権回収管理総合事務所,500
4355,ロングライフホールディング,544
4356,応用技術,657
4361,川口化学工業,218
4362,日本精化,940
4364,マナック,490
4365,松本油脂製薬,11970
4366,ダイトーケミックス,755
4367,広栄化学工業,729
4368,扶桑化学工業,3580
4369,トリケミカル研究所,3520
4401,ADEKA,1918
4403,日油,1593
4404,ミヨシ油脂,1414
4406,新日本理化,276
4409,東邦化学工業,398
4410,ハリマ化成グループ,919
4452,花王,6697
4461,第一工業製薬,682
4462,石原ケミカル,1771
4463,日華化学,1041
4464,ソフト99コーポレーション,970
4465,ニイタカ,1906
4471,三洋化成工業,6160
4502,武田薬品工業,6115
4503,アステラス製薬,1442.5
4506,大日本住友製薬,1470
4507,塩野義製薬,5963
4508,田辺三菱製薬,2704
4512,わかもと製薬,283
4514,あすか製薬,1699
4516,日本新薬,7920
4517,ビオフェルミン製薬,2825
4519,中外製薬,4600
4521,科研製薬,5800
4523,エーザイ,5801
4524,森下仁丹,594
4526,理研ビタミン,4355
4527,ロート製薬,2621
4528,小野薬品工業,2400.5
4530,久光製薬,5280
4531,有機合成薬品工業,290
4534,持田製薬,8200
4536,参天製薬,1817
4538,扶桑薬品工業,2738
4539,日本ケミファ,5120
4540,ツムラ,3980
4541,日医工,1660
4543,テルモ,4455
4544,みらかホールディングス,5060
4547,キッセイ薬品工業,2870
4548,生化学工業,1927
4549,栄研化学,4015
4550,日水製薬,1407
4551,鳥居薬品,2940
4552,JCRファーマ,3040
4553,東和薬品,5250
4554,富士製薬工業,3680
4555,沢井製薬,6140
4556,カイノス,688
4557,医学生物学研究所,494
4558,中京医薬品,288
4559,ゼリア新薬工業,2021
4563,アンジェス,622
4564,オンコセラピー・サイエンス,247
4565,そーせいグループ,8850
4568,第一三共,2586
4569,キョーリン製薬ホールディングス,2228
4570,免疫生物研究所,806
4571,ナノキャリア,657
4572,カルナバイオサイエンス,1210
4574,大幸薬品,2261
4575,キャンバス,629
4576,デ・ウエスタン・セラピテクス研究所,468
4577,ダイト,2787
4578,大塚ホールディングス,4353
4579,ラクオリア創薬,1086
4581,大正製薬ホールディングス,8630
4582,シンバイオ製薬,234
4583,カイオム・バイオサイエンス,366
4584,ジーンテクノサイエンス,1116
4585,UMNファーマ,288
4586,メドレックス,697
4587,ペプチドリーム,3525
4588,オンコリスバイオファーマ,641
4591,リボミック,557
4592,サンバイオ,1416
4593,ヘリオス,1368
4594,ブライトパス・バイオ,438
4595,ミズホメディー,2686
4596,窪田製薬ホールディングス,646
4597,ソレイジア・ファーマ,339
4611,大日本塗料,346
4612,日本ペイントホールディングス,3775
4613,関西ペイント,2802
4615,神東塗料,217
4616,川上塗料,1589
4617,中国塗料,906
4619,日本特殊塗料,1928
4620,藤倉化成,659
4621,ロックペイント,800
4623,アサヒペン,181
4624,イサム塗料,630
4625,アトミクス,1009
4626,太陽ホールディングス,5290
4627,ナトコ,1374
4628,エスケー化研,9200
4629,大伸化学,1616
4631,DIC,3935
4633,サカタインクス,2055
4634,東洋インキSCホールディングス,622
4635,東京インキ,384
4636,T＆K　TOKA,1263
4640,アンドール,405
4641,アルプス技研,3615
4642,オリジナル設計,492
4644,イマジニア,927
4645,市進ホールディングス,421
4649,大成,836
4650,SDエンターテイメント,1120
4651,サニックス,300
4653,ダイオーズ,1336
4656,サン・ライフ,963
4657,環境管理センター,479
4658,日本空調サービス,712
4659,エイジス,2379
4661,オリエンタルランド,8412
4662,フォーカスシステムズ,933
4664,アール・エス・シー,547
4665,ダスキン,3065
4666,パーク24,2666
4667,アイサンテクノロジー,3295
4668,明光ネットワークジャパン,1481
4669,ニッパンレンタル,1808
4671,ファルコホールディングス,1630
4673,川崎地質,484
4674,クレスコ,3935
4676,フジ・メディア・ホールディングス,1556
4678,秀英予備校,481
4679,田谷,675
4680,ラウンドワン,1315
4681,リゾートトラスト,1970
4684,オービック,6860
4685,菱友システムズ,1064
4686,ジャストシステム,2475
4687,TDCソフトウェアエンジニアリング,1125
4689,ヤフー,505
4690,日本パレットプール,225
4694,ビー・エム・エル,2370
4695,マイスターエンジニアリング,679
4696,ワタベウェディング,705
4699,ウチダエスコ,1203
4704,トレンドマイクロ,5540
4705,クリップコーポレーション,900
4707,キタック,319
4708,りらいあコミュニケーションズ,1280
4709,インフォメーション・ディベロプメント,1285
4712,アドアーズ,121
4714,リソー教育,837
4716,日本オラクル,8310
4718,早稲田アカデミー,1543
4719,アルファシステムズ,2300
4720,城南進学研究社,530
4722,フューチャー,918
4725,CACホールディングス,1034
4726,ソフトバンク・テクノロジー,1785
4728,トーセ,2444
4732,ユー・エス・エス,2180
4733,オービックビジネスコンサルタント,5600
4734,ビーイング,420
4735,京進,708
4736,日本ラッド,900
4739,伊藤忠テクノソリューションズ,4080
4743,アイティフォー,605
4745,東京個別指導学院,1065
4746,東計電算,2908
4748,構造計画研究所,2159
4750,ダイサン,843
4751,サイバーエージェント,3370
4752,昭和システムエンジニアリング,668
4754,トスネット,1065
4755,楽天,1234.5
4760,アルファ,209
4761,さくらケーシーエス,657
4762,エックスネット,902
4763,クリーク・アンド・リバー社,1201
4764,SAMURAI＆J_PARTNERS,1180
4765,モーニングスター,333
4766,ピーエイ,181
4767,テー・オー・ダブリュー,825
4768,大塚商会,7100
4769,インフォメーションクリエーティブ,1057
4770,図研エルミック,545
4771,エフアンドエム,1031
4772,デジタルアドベンチャー,638
4775,総合メディカル,5170
4776,サイボウズ,503
4777,ガーラ,411
4779,ソフトブレーン,407
4781,日本ハウズイング,3080
4783,日本コンピュータ・ダイナミクス,778
4784,GMOアドパートナーズ,452
4792,山田コンサルティンググループ,7560
4793,富士通ビー・エス・シー,1099
4800,オリコン,364
4801,セントラルスポーツ,4115
4809,パラカ,2418
4812,電通国際情報サービス,2514
4813,ACCESS,880
4814,ネクストウェア,326
4816,東映アニメーション,11200
4819,デジタルガレージ,2133
4820,イーエムシステムズ,2162
4824,メディアシーク,461
4825,ウェザーニューズ,3495
4826,CIJ,640
4827,ビジネス・ワンホールディングス,494
4828,東洋ビジネスエンジニアリング,1748
4829,日本エンタープライズ,251
4832,JFEシステムズ,2488
4833,ぱど,545
4834,キャリアバンク,979
4837,シダックス,438
4838,スペースシャワーネットワーク,616
4839,WOWOW,3730
4840,トライアイズ,354
4845,スカラ,794
4847,インテリジェントウェイブ,747
4848,フルキャストホールディングス,1935
4849,エン・ジャパン,3850
4875,メディシノバ・インク,608
4901,富士フイルムホールディングス,4327
4902,コニカミノルタ,910
4911,資生堂,4573
4912,ライオン,2128
4914,高砂香料工業,3845
4917,マンダム,6230
4918,アイビー化粧品,8270
4919,ミルボン,6500
4920,日本色材工業研究所,5300
4921,ファンケル,2431
4922,コーセー,13570
4923,コタ,1277
4924,シーズ・ホールディングス,3830
4925,ハーバー研究所,4195
4926,シーボン,2549
4927,ポーラ・オルビスホールディングス,3505
4928,ノエビアホールディングス,6370
4929,アジュバンコスメジャパン,960
4951,エステー,2498
4952,エス・ディー・エスバイオテック,857
4955,アグロカネショウ,1748
4956,コニシ,1975
4957,ヤスハラケミカル,760
4958,長谷川香料,2139
4960,ケミプロ化成,442
4962,互応化学工業,1390
4963,星光PMC,1201
4965,曽田香料,1137
4966,上村工業,6820
4967,小林製薬,6620
4968,荒川化学工業,2729
4970,東洋合成工業,1415
4971,メック,1802
4972,綜研化学,2020
4973,日本高純度化学,2702
4974,タカラバイオ,1512
4975,JCU,4895
4976,東洋ドライルーブ,3725
4977,新田ゼラチン,755
4978,リプロセル,354
4979,OATアグリオ,2095
4980,デクセリアルズ,1488
4985,アース製薬,5030
4987,寺岡製作所,528
4990,昭和化学工業,425
4992,北興化学工業,678
4994,大成ラミック,2951
4995,サンケイ化学,925
4996,クミアイ化学工業,732
4997,日本農薬,639
4998,フマキラー,995
4999,セメダイン,714
5002,昭和シェル石油,1199
5008,東亜石油,146
5009,富士興産,579
5010,日本精蝋,325
5011,ニチレキ,1349
5013,ユシロ化学工業,1627
5015,ビーピー・カストロール,1856
5017,富士石油,407
5018,MORESCO,2134
5019,出光興産,2848
5020,JXTGホールディングス,548.5
5021,コスモエネルギーホールディングス,2327
5101,横浜ゴム,2213
5103,昭和ホールディングス,121
5104,日東化工,88
5105,東洋ゴム工業,2384
5108,ブリヂストン,4893
5110,住友ゴム工業,1956
5121,藤倉ゴム工業,936
5122,オカモト,1164
5142,アキレス,2239
5161,西川ゴム工業,2258
5162,朝日ラバー,1198
5184,ニチリン,3630
5185,フコク,1128
5186,ニッタ,3930
5187,クリエートメディック,1027
5189,櫻護謨,585
5191,住友理工,1062
5192,三ツ星ベルト,1352
5194,相模ゴム工業,1605
5195,バンドー化学,1187
5199,不二ラテックス,320
5201,旭硝子,4230
5202,日本板硝子,835
5204,石塚硝子,2389
5208,有沢製作所,1031
5210,日本山村硝子,196
5212,不二硝子,489
5214,日本電気硝子,4235
5216,倉元製作所,231
5217,テクノクオーツ,774
5218,オハラ,2056
5232,住友大阪セメント,493
5233,太平洋セメント,434
5237,ノザワ,1401
5261,リソルホールディングス,381
5262,日本ヒューム,671
5268,旭コンクリート工業,699
5269,日本コンクリート工業,434
5271,トーヨーアサノ,2041
5273,三谷セキサン,2490
5277,スパンクリートコーポレーション,537
5279,日本興業,182
5280,ヨシコン,1387
5282,ジオスター,908
5283,高見澤,494
5284,ヤマウ,393
5285,ヤマックス,363
5287,イトーヨーギョー,999
5288,アジアパイルホールディングス,574
5289,ゼニス羽田ホールディングス,393
5301,東海カーボン,878
5302,日本カーボン,4160
5304,SECカーボン,449
5310,東洋炭素,2720
5331,ノリタケカンパニーリミテド,5530
5332,TOTO,4300
5333,日本碍子,2083
5334,日本特殊陶業,2164
5337,ダントーホールディングス,148
5341,アサヒ衛陶,122
5342,ジャニス工業,167
5343,ニッコー,142
5344,MARUWA,6280
5351,品川リフラクトリーズ,370
5352,黒崎播磨,529
5355,日本坩堝,219
5356,美濃窯業,340
5357,ヨータイ,413
5358,イソライト工業,757
5363,東京窯業,351
5367,ニッカトー,614
5380,新東,268
5381,Mipox,808
5384,フジミインコーポレーテッド,2690
5386,鶴弥,484
5387,チヨダウーテ,496
5388,クニミネ工業,826
5391,エーアンドエーマテリアル,127
5393,ニチアス,1343
5395,理研コランダム,253
5401,新日鐵住金,2639.5
5406,神戸製鋼所,1320
5408,中山製鋼所,732
5410,合同製鐵,2066
5411,ジェイエフイーホールディングス,2234
5413,日新製鋼,1396
5423,東京製鐵,971
5440,共英製鋼,1637
5444,大和工業,3125
5445,東京鐵鋼,432
5446,北越メタル,1386
5449,大阪製鐵,2426
5451,淀川製鋼所,3040
5453,東洋鋼鈑,545
5456,朝日工業,1424
5458,高砂鐵工,102
5461,中部鋼鈑,756
5463,丸一鋼管,3255
5464,モリ工業,2549
5471,大同特殊鋼,630
5476,日本高周波鋼業,113
5480,日本冶金工業,222
5481,山陽特殊製鋼,563
5482,愛知製鋼,4320
5484,東北特殊鋼,1910
5486,日立金属,1515
5491,日本金属,3060
5541,大平洋金属,302
5542,新報国製鉄,1381
5563,新日本電工,465
5602,栗本鐵工所,2283
5603,虹技,225
5607,中央可鍛工業,539
5609,日本鋳造,134
5610,大和重工,141
5612,日本鋳鉄管,180
5614,川金ホールディングス,357
5631,日本製鋼所,2628
5632,三菱製鋼,284
5644,メタルアート,330
5658,日亜鋼業,305
5659,日本精線,941
5660,神鋼鋼線工業,185
5695,パウダーテック,850
5697,サンユウ,432
5698,エンビプロ・ホールディングス,1105
5702,大紀アルミニウム工業所,812
5703,日本軽金属ホールディングス,324
5704,JMC,1127
5706,三井金属鉱業,573
5707,東邦亜鉛,483
5711,三菱マテリアル,3835
5713,住友金属鉱山,1897.5
5714,DOWAホールディングス,814
5715,古河機械金属,193
5721,エス・サイエンス,82
5724,アサカ理研,1700
5726,大阪チタニウムテクノロジーズ,1582
5727,東邦チタニウム,803
5729,日本精鉱,641
5741,UACJ,304
5742,エヌアイシ・オートテック,2187
5753,日本伸銅,1488
5757,CKサンエツ,2778
5758,FCM,2915
5781,東邦金属,182
5801,古河電気工業,6280
5802,住友電気工業,1732
5803,フジクラ,895
5805,昭和電線ホールディングス,104
5807,東京特殊電線,2257
5809,タツタ電線,877
5815,沖電線,328
5816,オーナンバ,453
5817,JMACS,849
5819,カナレ電気,2495
5820,三ッ星,386
5821,平河ヒューテック,1522
5851,リョービ,597
5852,アーレスティ,899
5856,東理ホールディングス,85
5857,アサヒホールディングス,2311
5900,ダイケン,815
5901,東洋製罐グループホールディングス,1862
5902,ホッカンホールディングス,418
5903,シンポ,801
5905,日本製罐,125
5906,エムケー精工,416
5907,JFEコンテイナー,404
5909,コロナ,1157
5911,横河ブリッジホールディングス,1965
5912,OSJBホールディングス,318
5915,駒井ハルテック,2305
5918,瀧上工業,536
5921,川岸工業,1072
5922,那須電機鉄工,413
5923,高田機工,319
5928,アルメタックス,394
5929,三和ホールディングス,1268
5930,文化シヤッター,879
5932,三協立山,1545
5933,アルインコ,1287
5935,元旦ビューティ工業,424
5936,東洋シヤッター,650
5938,LIXILグループ,3035
5939,大谷工業,371
5940,不二サッシ,106
5941,中西製作所,1292
5942,日本フイルコン,638
5943,ノーリツ,1974
5945,天龍製鋸,2403
5946,長府製作所,2722
5947,リンナイ,9630
5949,ユニプレス,2909
5950,日本パワーファスニング,187
5951,ダイニチ工業,781
5952,アマテイ,124
5953,昭和鉄工,222
5955,ヤマシナ,72
5956,トーソー,549
5957,日東精工,595
5958,三洋工業,219
5959,岡部,1006
5962,浅香工業,192
5964,東洋刃物,948
5965,フジマック,1729
5966,京都機械工具,406
5967,TONE,562
5969,ロブテックス,250
5970,ジーテクト,2194
5971,共和工業所,1055
5973,トーアミ,546
5974,中国工業,765
5975,東プレ,3245
5976,高周波熱錬,1110
5979,カネソウ,500
5981,東京製綱,1596
5982,マルゼン,1925
5983,イワブチ,5850
5984,兼房,810
5985,サンコール,696
5986,モリテックスチール,468
5987,オーネックス,164
5988,パイオラックス,2861
5989,エイチワン,1092
5990,スーパーツール,440
5991,日本発條,1168
5992,中央発條,353
5993,知多鋼業,800
5994,ファインシンター,2210
5997,協立エアテック,679
5998,アドバネクス,2618
5999,イハラサイエンス,1965
6005,三浦工業,2614
6013,タクマ,1359
6016,ジャパンエンジンコーポレーション,151
6018,阪神内燃機工業,316
6022,赤阪鐵工所,190
6023,ダイハツディーゼル,714
6025,日本PCサービス,620
6026,GMOTECH,2352
6027,弁護士ドットコム,1484
6028,テクノプロ・ホールディングス,5270
6029,アトラ,642
6030,アドベンチャー,10100
6031,サイジニア,1945
6032,インターワークス,1061
6033,エクストリーム,1714
6034,MRT,1605
6035,アイ・アールジャパンホールディングス,1604
6036,KeePer技研,1325
6037,ファーストロジック,2594
6038,イード,951
6039,日本動物高度医療センター,2108
6040,日本スキー場開発,1499
6042,ニッキ,452
6044,三機サービス,1262
6045,レントラックス,910
6046,リンクバル,1918
6047,Gunosy,3130
6048,デザインワン・ジャパン,1349
6049,イトクロ,4900
6050,イー・ガーディアン,2171
6054,リブセンス,574
6055,ジャパンマテリアル,2900
6058,ベクトル,1492
6059,ウチヤマホールディングス,463
6060,こころネット,1133
6061,ユニバーサル園芸社,2016
6062,チャーム・ケア・コーポレーション,2377
6063,日本エマージェンシーアシスタンス,1099
6064,アクトコール,1276
6065,ライクキッズネクスト,2388
6067,メディアフラッグ,578
6069,トレンダーズ,1347
6070,キャリアリンク,557
6071,IBJ,772
6072,地盤ネットホールディングス,340
6073,アサンテ,1834
6074,ジェイエスエス,990
6076,アメイズ,1270
6077,N・フィールド,1693
6078,バリューHR,3700
6079,エナリス,523
6080,M＆Aキャピタルパートナーズ,5220
6081,アライドアーキテクツ,918
6082,ライドオン・エクスプレス,931
6083,ERIホールディングス,877
6084,オウチーノ,2300
6085,アーキテクツ・スタジオ・ジャパン,1401
6086,シンメンテホールディングス,4755
6087,アビスト,4855
6088,シグマクシス,794
6089,ウィルグループ,1291
6090,ヒューマン・メタボローム・テクノロジーズ,1696
6091,ウエスコホールディングス,401
6092,エンバイオ・ホールディングス,1423
6093,エスクロー・エージェント・ジャパン,3600
6094,フリークアウト・ホールディングス,3890
6095,メドピア,630
6096,レアジョブ,1510
6097,日本ビューホテル,1367
6098,リクルートホールディングス,2458
6099,エラン,3315
6101,ツガミ,987
6103,オークマ,1106
6104,東芝機械,598
6111,旭精機工業,255
6112,小島鉄工所,120
6113,アマダホールディングス,1229
6118,アイダエンジニアリング,1267
6121,滝澤鉄工所,194
6125,岡本工作機械製作所,317
6131,浜井産業,90
6134,富士機械製造,2030
6135,牧野フライス製作所,961
6136,オーエスジー,2441
6137,小池酸素工業,294
6138,ダイジェット工業,190
6140,旭ダイヤモンド工業,999
6141,DMG森精機,1896
6142,富士精工,279
6143,ソディック,1371
6144,西部電機,841
6145,日特エンジニアリング,4490
6146,ディスコ,22170
6147,ヤマザキ,408
6149,小田原エンジニアリング,4170
6150,タケダ機械,299
6151,日東工器,2734
6155,高松機械工業,1010
6156,エーワン精密,2146
6157,日進工具,2017
6158,和井田製作所,580
6159,ミクロン精密,1286
6161,エスティック,3000
6164,太陽工機,2194
6165,パンチ工業,1907
6166,中村超硬,4565
6167,冨士ダイス,756
6171,土木管理総合試験所,1795
6172,メタップス,3165
6173,アクアライン,2239
6175,ネットマーケティング,1443
6176,ブランジスタ,1419
6177,AppBank,568
6178,日本郵政,1402
6180,GMOメディア,2755
6181,パートナーエージェント,386
6182,ロゼッタ,1474
6183,ベルシステム24ホールディングス,1125
6184,鎌倉新書,1536
6185,ソネット・メディア・ネットワークス,2947
6186,一蔵,1118
6187,LITALICO,1561
6188,富士ソフトサービスビューロ,1399
6189,グローバルグループ,1743
6190,フェニックスバイオ,1432
6191,エボラブルアジア,2422
6192,ハイアス・アンド・カンパニー,887
6193,バーチャレクス・コンサルティング,762
6194,アトラエ,7510
6195,ホープ,1251
6196,ストライク,4290
6197,ソラスト,1990
6198,キャリア,4000
6199,セラク,767
6200,インソース,1794
6201,豊田自動織機,6130
6203,豊和工業,929
6205,OKK,131
6208,石川製作所,2270
6210,東洋機械金属,854
6217,津田駒工業,199
6218,エンシュウ,138
6222,島精機製作所,5330
6236,NCホールディングス,821
6237,イワキ,2868
6238,フリュー,1088
6239,ナガオカ,926
6240,ヤマシンフィルタ,4100
6245,ヒラノテクシード,1987
6246,テクノスマート,1885
6247,日阪製作所,969
6248,横田製作所,1039
6249,ゲームカード・ジョイコホールディングス,1322
6250,やまびこ,1406
6254,野村マイクロ・サイエンス,819
6255,エヌ・ピー・シー,223
6256,ニューフレアテクノロジー,6170
6257,藤商事,1201
6258,平田機工,10860
6262,ペガサスミシン製造,759
6264,マルマエ,1147
6265,妙徳,389
6266,タツモ,1888
6267,ゼネラルパッカー,1948
6268,ナブテスコ,4185
6269,三井海洋開発,2568
6271,ニッセイ,1088
6272,レオン自動機,1383
6273,SMC,39480
6274,新川,754
6276,ナビタス,351
6277,ホソカワミクロン,5950
6278,ユニオンツール,3550
6279,瑞光,3740
6281,前田製作所,435
6282,オイレス工業,2023
6284,日精エー・エス・ビー機械,4710
6286,靜甲,704
6287,サトーホールディングス,2543
6289,技研製作所,3015
6291,日本エアーテック,801
6292,カワタ,815
6293,日精樹脂工業,1420
6294,オカダアイヨン,1736
6295,富士変速機,300
6297,鉱研工業,684
6298,ワイエイシイホールディングス,1180
6299,神鋼環境ソリューション,415
6300,アピックヤマダ,579
6301,小松製作所,3097
6302,住友重機械工業,876
6303,ササクラ,471
6305,日立建機,3175
6306,日工,2213
6307,サンセイ,289
6309,巴工業,1902
6310,井関農機,2395
6312,フロイント産業,1543
6314,石井工作研究所,412
6315,TOWA,1765
6316,丸山製作所,1797
6317,北川鉄工所,2618
6319,シンニッタン,734
6322,タクミナ,1780
6323,ローツェ,2390
6324,ハーモニック・ドライブ・システムズ,5650
6325,タカキタ,580
6326,クボタ,1982
6327,北川精機,474
6328,荏原実業,1569
6330,東洋エンジニアリング,288
6331,三菱化工機,260
6332,月島機械,1439
6333,帝国電機製作所,1177
6334,明治機械,503
6335,東京機械製作所,71
6336,石井表記,1280
6337,テセック,1672
6338,タカトリ,825
6339,新東工業,1224
6340,澁谷工業,3630
6342,太平製作所,238
6343,フリージア・マクロス,25
6345,アイチコーポレーション,743
6346,キクカワエンタープライズ,323
6347,プラコー,121
6349,小森コーポレーション,1391
6351,鶴見製作所,2001
6355,住友精密工業,347
6356,日本ギア工業,510
6357,三精テクノロジーズ,915
6358,酒井重工業,355
6360,東京自働機械製作所,162
6361,荏原製作所,3610
6362,石井鐵工所,1668
6363,酉島製作所,1172
6364,北越工業,1036
6365,電業社機械製作所,1914
6366,千代田化工建設,601
6367,ダイキン工業,11150
6368,オルガノ,592
6369,トーヨーカネツ,392
6370,栗田工業,3240
6371,椿本チエイン,879
6373,大同工業,323
6376,日機装,1015
6378,木村化工機,454
6379,新興プランテック,977
6380,オリエンタルチエン工業,120
6381,アネスト岩田,1041
6382,トリニティ工業,937
6383,ダイフク,5630
6384,昭和真空,1550
6387,サムコ,945
6390,加藤製作所,3280
6391,加地テック,308
6392,ヤマダコーポレーション,463
6393,油研工業,255
6395,タダノ,1311
6396,宇野澤組鐵工所,256
6400,不二精機,216
6402,兼松エンジニアリング,1225
6403,水道機工,354
6405,鈴茂器工,2586
6406,フジテック,1591
6407,CKD,2138
6408,小倉クラッチ,392
6409,キトー,1283
6411,中野冷機,3575
6412,平和,2158
6413,理想科学工業,2023
